Afinia/Afinia H+1(HS) | 207x255x230
Anker/Anker M5 | 235x235x250
Anker/Anker M5 All-Metal Hot End | 235x235x250
Anker/Anker M5C | 220x220x250
Anycubic/Anycubic 4Max Pro | 270x205x200
Anycubic/Anycubic 4Max Pro 2 | 270x210x190
Anycubic/Anycubic Chiron | 400x400x450
Anycubic/Anycubic Kobra | 220x220x250
Anycubic/Anycubic Kobra 2 | 220x220x250
Anycubic/Anycubic Kobra 2 Max | 420x420x500
Anycubic/Anycubic Kobra 2 Neo | 220x220x250
Anycubic/Anycubic Kobra 2 Plus | 320x320x400
Anycubic/Anycubic Kobra 2 Pro | 220x220x250
Anycubic/Anycubic Kobra 3 | 255x255x260
Anycubic/Anycubic Kobra 3 Max | 426x420x501
Anycubic/Anycubic Kobra Max | 400x400x450
Anycubic/Anycubic Kobra Neo | 220x220x250
Anycubic/Anycubic Kobra Plus | 300x300x350
Anycubic/Anycubic Kobra S1 | 250x250x250
Anycubic/Anycubic Kobra S1 Max | 350x350x350
Anycubic/Anycubic Kobra X | 260x260x260
Anycubic/Anycubic Predator | 370x370x455
Anycubic/Anycubic Vyper | 250x255x265
Anycubic/Anycubic i3 Mega S | 210x210x205
Artillery/Artillery Genius | 220x220x250
Artillery/Artillery Genius Pro | 220x220x250
Artillery/Artillery Hornet | 230x230x250
Artillery/Artillery M1 Pro | 260x260x260
Artillery/Artillery Sidewinder X1 | 300x300x400
Artillery/Artillery Sidewinder X2 | 300x300x400
Artillery/Artillery Sidewinder X3 Plus | 300x305x400
Artillery/Artillery Sidewinder X3 Pro | 240x245x260
Artillery/Artillery Sidewinder X4 Plus | 300x310x400
Artillery/Artillery Sidewinder X4 Pro | 240x250x260
BIQU/BIQU B1 | 235x235x270
BIQU/BIQU BX | 250x250x250
BIQU/BIQU Hurakan | 220x220x270
Bambulab/Bambu Lab A1 | 256x256x256
Bambulab/Bambu Lab A1 mini | 180x180x180
Bambulab/Bambu Lab H2D | 350x320x325
Bambulab/Bambu Lab H2D Pro | 350x320x325
Bambulab/Bambu Lab H2S | 340x320x340
Bambulab/Bambu Lab P1P | 256x256x250
Bambulab/Bambu Lab P1S | 256x256x250
Bambulab/Bambu Lab P2S | 256x256x256
Bambulab/Bambu Lab X1 | 256x256x250
Bambulab/Bambu Lab X1 Carbon | 256x256x250
Bambulab/Bambu Lab X1E | 256x256x250
Bambulab/Bambu Lab X2D | 256x256x261
Blocks/BLOCKS Pro S100 | 1000x1000x900
Blocks/BLOCKS RD50 V2 | 500x500x500
Blocks/BLOCKS RF50 | 500x500x500
CONSTRUCT3D/Construct 1 | 225x260x180
CONSTRUCT3D/Construct 1 XL | 325x370x400
Chuanying/Chuanying X1 | 220x220x220
Co Print/Co Print ChromaSet | 225x225x250
CoLiDo/CoLiDo 160 V2 | 160x160x180
CoLiDo/CoLiDo DIY 4.0 | 225x220x230
CoLiDo/CoLiDo DIY 4.0 V2 | 230x230x255
CoLiDo/CoLiDo SR1 | 220x220x251
CoLiDo/CoLiDo X16 | 160x160x180
Comgrow/Comgrow T300 | 300x300x350
Comgrow/Comgrow T500 | 500x500x500
Creality/Creality CR-10 Max | 450x450x470
Creality/Creality CR-10 SE | 220x220x265
Creality/Creality CR-10 V2 | 300x300x400
Creality/Creality CR-10 V3 | 300x300x400
Creality/Creality CR-6 Max | 390x390x400
Creality/Creality CR-6 SE | 225x235x250
Creality/Creality CR-M4 | 450x450x470
Creality/Creality Ender-3 | 220x220x250
Creality/Creality Ender-3 Pro | 220x220x250
Creality/Creality Ender-3 S1 | 220x220x270
Creality/Creality Ender-3 S1 Plus | 300x300x300
Creality/Creality Ender-3 S1 Pro | 220x220x270
Creality/Creality Ender-3 V2 | 220x220x250
Creality/Creality Ender-3 V2 Neo | 220x220x250
Creality/Creality Ender-3 V3 | 220x220x250
Creality/Creality Ender-3 V3 KE | 220x220x245
Creality/Creality Ender-3 V3 Plus | 300x300x330
Creality/Creality Ender-3 V3 SE | 220x220x250
Creality/Creality Ender-3 V4 | ?
Creality/Creality Ender-5 | 220x220x300
Creality/Creality Ender-5 Max | ?
Creality/Creality Ender-5 Plus | 350x350x400
Creality/Creality Ender-5 Pro (2019) | 220x220x300
Creality/Creality Ender-5 S1 | 220x220x300
Creality/Creality Ender-5S | 220x220x300
Creality/Creality Ender-6 | 250x250x400
Creality/Creality Hi | 260x260x300
Creality/Creality K1 | 220x220x250
Creality/Creality K1 Max | 300x300x300
Creality/Creality K1 Max_CFS-C | ?
Creality/Creality K1 SE | 220x220x250
Creality/Creality K1 SE_CFS-C | ?
Creality/Creality K1C | 220x220x250
Creality/Creality K1C_CFS-C | ?
Creality/Creality K1_CFS-C | ?
Creality/Creality K2 | 260x260x260
Creality/Creality K2 Plus | 350x350x350
Creality/Creality K2 Pro | 300x300x300
Creality/Creality K2 SE | ?
Creality/Creality SPARKX i7 | ?
Creality/Creality Sermoon V1 | 175x175x165
Cubicon/Cubicon xCeler-I | 250x250x290
Cubicon/Cubicon xCeler-Mini | 150x150x150
Cubicon/Cubicon xCeler-Plus | 310x310x310
Custom Printer/Generic Klipper Printer | 250x250x250
Custom Printer/Generic Marlin Printer | 250x250x250
Custom Printer/Generic RRF Printer | 250x250x250
Custom Printer/Generic Repetier Printer | 250x250x250
Custom Printer/Generic ToolChanger Printer | 350x350x300
DeltaMaker/DeltaMaker 2 | 276x240x260
DeltaMaker/DeltaMaker 2T | 276x240x460
DeltaMaker/DeltaMaker 2XT | 276x240x565
Dremel/Dremel 3D20 | 230x150x140
Dremel/Dremel 3D40 | 225x155x170
Dremel/Dremel 3D45 | 225x155x170
Elegoo/Elegoo Centauri | 256x256x256
Elegoo/Elegoo Centauri 2 | 256x256x256
Elegoo/Elegoo Centauri Carbon | 256x256x256
Elegoo/Elegoo Centauri Carbon 2 | 256x256x256
Elegoo/Elegoo Neptune | 210x210x200
Elegoo/Elegoo Neptune 2 | 235x235x250
Elegoo/Elegoo Neptune 2D | 235x235x250
Elegoo/Elegoo Neptune 2S | 235x235x250
Elegoo/Elegoo Neptune 3 | 235x235x280
Elegoo/Elegoo Neptune 3 Max | 425x425x500
